rollno,name,age,branch,address,courseFee,hobbies
1,Shivam,19,comp,"{ city: 'pune', state: 'mh' }",100,"badminton,books"
2,Kavita,19,entc,"{ city: 'banglore', state: 'karnataka' }",100,"tennis,books,cooking"
3,Shreya,13,entc,"{ city: 'pune', state: 'mh' }",100,"badminton,tennis"
4,Sneha,21,mech,"{ city: 'nasik', state: 'mh' }",100,"basketball,books"
5,Neha,10,civil,"{ city: 'nasik', state: 'mh' }",100,"cooking,books,drawing"
6,Riya,21,entc,"{ city: 'mumbai', state: 'mh' }",100,"badminton,dancing"
7,Sumit,12,civil,"{ city: 'nagpur', state: 'mh' }",100,"singing,cooking,dancing"
8,Richa,19,comp,"{ city: 'mumbai', state: 'mh' }",100,"badminton,books,cooking,dancing"
9,Atharv,21,mech,"{ city: 'banglore', state: 'karnataka' }",100,"badminton,dancing"
10,Nishant,19,entc,"{ city: 'pune', state: 'mh' }",100,"tennis,dancing"
11,karan,19,cse,"{ city: 'ajmer', state: 'rajasthan' }",100,
12,love,19,cse,"{ city: 'kanpur', state: 'up' }",100,
13,samir,19,ece,"{ city: 'jaiselmer', state: 'rajasthan' }",100,
14,arnav,19,ee,"{ city: 'ajmer', state: 'rajasthan' }",100,
15,abhishek,19,ai,"{ city: 'bikaner', state: 'rajasthan' }",100,
16,vikas,19,it,"{ city: 'jodhpur', state: 'rajasthan' }",100,
17,surya,19,mechanical,"{ city: 'jaipur', state: 'rajasthan' }",100,
18,pranav,19,civil,"{ city: 'jabalpur', state: 'mp' }",100,
19,ayush,19,ece,"{ city: 'shimla', state: 'hp' }",100,
20,kush,19,cse,"{ city: 'kanpur', state: 'up' }",100,
