rollno,name,age,branch,address,courseFee,hobbies,department.departmentName,department.hod,dob
3,Shreya,13,entc,"{""city"":""pune"",""state"":""mh""}",100,"[""badminton"",""tennis""]",entc,jack,Mon Jan 26 2004 05:30:00 GMT+0530 (India Standard Time)
5,Neha,10,civil,"{""city"":""nasik"",""state"":""mh""}",100,"[""cooking"",""books"",""drawing""]",civil,rajesh,Sat Jul 24 2004 05:30:00 GMT+0530 (India Standard Time)
5,Neha,10,civil,"{""city"":""nasik"",""state"":""mh""}",100,"[""cooking"",""books"",""drawing""]",civil,rajesh,Sat Jul 24 2004 05:30:00 GMT+0530 (India Standard Time)
1,Shivam,19,comp,"{""city"":""pune"",""state"":""mh""}",100,"[""badminton"",""books""]",comp,kim,Sat Oct 30 2004 05:30:00 GMT+0530 (India Standard Time)
18,pranav,19,civil,"{""city"":""jabalpur"",""state"":""mp""}",100,undefined,civil,rajesh,Sun Jan 30 2005 05:30:00 GMT+0530 (India Standard Time)
18,pranav,19,civil,"{""city"":""jabalpur"",""state"":""mp""}",100,undefined,civil,rajesh,Sun Jan 30 2005 05:30:00 GMT+0530 (India Standard Time)
14,arnav,19,ee,"{""city"":""ajmer"",""state"":""rajasthan""}",100,undefined,ee,sivan,Fri Feb 18 2005 05:30:00 GMT+0530 (India Standard Time)
4,Sneha,21,mech,"{""city"":""nasik"",""state"":""mh""}",100,"[""basketball"",""books""]",mech,sam,Thu Mar 17 2005 05:30:00 GMT+0530 (India Standard Time)
7,Sumit,12,civil,"{""city"":""nagpur"",""state"":""mh""}",100,"[""singing"",""cooking"",""dancing""]",civil,rajesh,Mon Apr 25 2005 05:30:00 GMT+0530 (India Standard Time)
7,Sumit,12,civil,"{""city"":""nagpur"",""state"":""mh""}",100,"[""singing"",""cooking"",""dancing""]",civil,rajesh,Mon Apr 25 2005 05:30:00 GMT+0530 (India Standard Time)
2,Kavita,19,entc,"{""city"":""banglore"",""state"":""karnataka""}",100,"[""tennis"",""books"",""cooking""]",entc,jack,Thu Jun 23 2005 05:30:00 GMT+0530 (India Standard Time)
8,Richa,19,comp,"{""city"":""mumbai"",""state"":""mh""}",100,"[""badminton"",""books"",""cooking"",""dancing""]",comp,kim,Tue Aug 02 2005 05:30:00 GMT+0530 (India Standard Time)
9,Atharv,21,mech,"{""city"":""banglore"",""state"":""karnataka""}",100,"[""badminton"",""dancing""]",mech,sam,Tue Oct 11 2005 05:30:00 GMT+0530 (India Standard Time)
10,Nishant,19,entc,"{""city"":""pune"",""state"":""mh""}",100,"[""tennis"",""dancing""]",entc,jack,Tue Oct 18 2005 05:30:00 GMT+0530 (India Standard Time)
6,Riya,21,entc,"{""city"":""mumbai"",""state"":""mh""}",100,"[""badminton"",""dancing""]",entc,jack,Wed Dec 28 2005 05:30:00 GMT+0530 (India Standard Time)
