rollno,name,age,branch,address,courseFee,hobbies,department,dob
3,Shreya,13,entc,"{""city"":""pune"",""state"":""mh""}",100,"[""badminton"",""tennis""]","{""departmentName"":""entc"",""hod"":""jack""}",Mon Jan 26 2004 05:30:00 GMT+0530 (India Standard Time)
5,Neha,10,civil,"{""city"":""nasik"",""state"":""mh""}",100,"[""cooking"",""books"",""drawing""]","{""departmentName"":""civil"",""hod"":""rajesh""}",Sat Jul 24 2004 05:30:00 GMT+0530 (India Standard Time)
5,Neha,10,civil,"{""city"":""nasik"",""state"":""mh""}",100,"[""cooking"",""books"",""drawing""]","{""departmentName"":""civil"",""hod"":""rajesh""}",Sat Jul 24 2004 05:30:00 GMT+0530 (India Standard Time)
1,Shivam,19,comp,"{""city"":""pune"",""state"":""mh""}",100,"[""badminton"",""books""]","{""departmentName"":""comp"",""hod"":""kim""}",Sat Oct 30 2004 05:30:00 GMT+0530 (India Standard Time)
18,pranav,19,civil,"{""city"":""jabalpur"",""state"":""mp""}",100,undefined,"{""departmentName"":""civil"",""hod"":""rajesh""}",Sun Jan 30 2005 05:30:00 GMT+0530 (India Standard Time)
18,pranav,19,civil,"{""city"":""jabalpur"",""state"":""mp""}",100,undefined,"{""departmentName"":""civil"",""hod"":""rajesh""}",Sun Jan 30 2005 05:30:00 GMT+0530 (India Standard Time)
14,arnav,19,ee,"{""city"":""ajmer"",""state"":""rajasthan""}",100,undefined,"{""departmentName"":""ee"",""hod"":""sivan""}",Fri Feb 18 2005 05:30:00 GMT+0530 (India Standard Time)
4,Sneha,21,mech,"{""city"":""nasik"",""state"":""mh""}",100,"[""basketball"",""books""]","{""departmentName"":""mech"",""hod"":""sam""}",Thu Mar 17 2005 05:30:00 GMT+0530 (India Standard Time)
7,Sumit,12,civil,"{""city"":""nagpur"",""state"":""mh""}",100,"[""singing"",""cooking"",""dancing""]","{""departmentName"":""civil"",""hod"":""rajesh""}",Mon Apr 25 2005 05:30:00 GMT+0530 (India Standard Time)
7,Sumit,12,civil,"{""city"":""nagpur"",""state"":""mh""}",100,"[""singing"",""cooking"",""dancing""]","{""departmentName"":""civil"",""hod"":""rajesh""}",Mon Apr 25 2005 05:30:00 GMT+0530 (India Standard Time)
2,Kavita,19,entc,"{""city"":""banglore"",""state"":""karnataka""}",100,"[""tennis"",""books"",""cooking""]","{""departmentName"":""entc"",""hod"":""jack""}",Thu Jun 23 2005 05:30:00 GMT+0530 (India Standard Time)
8,Richa,19,comp,"{""city"":""mumbai"",""state"":""mh""}",100,"[""badminton"",""books"",""cooking"",""dancing""]","{""departmentName"":""comp"",""hod"":""kim""}",Tue Aug 02 2005 05:30:00 GMT+0530 (India Standard Time)
9,Atharv,21,mech,"{""city"":""banglore"",""state"":""karnataka""}",100,"[""badminton"",""dancing""]","{""departmentName"":""mech"",""hod"":""sam""}",Tue Oct 11 2005 05:30:00 GMT+0530 (India Standard Time)
10,Nishant,19,entc,"{""city"":""pune"",""state"":""mh""}",100,"[""tennis"",""dancing""]","{""departmentName"":""entc"",""hod"":""jack""}",Tue Oct 18 2005 05:30:00 GMT+0530 (India Standard Time)
6,Riya,21,entc,"{""city"":""mumbai"",""state"":""mh""}",100,"[""badminton"",""dancing""]","{""departmentName"":""entc"",""hod"":""jack""}",Wed Dec 28 2005 05:30:00 GMT+0530 (India Standard Time)
